nome_fantasia,slug,inicio_atividades,porte_empresa,nome_cidade,sigla_uf,populacao_cidade,latitude_cidade,longitude_cidade,dist_1,dist_2,dist_3,dist_4
A & B RECICLAGEM,a-b-reciclagem,2009-09-02T03:00:00.000Z,1,Simões Filho,BA,137117,-12.7866,-38.4029,,,,
A & J CARGAS,a-j-cargas,2001-08-16T03:00:00.000Z,1,Simões Filho,BA,137117,-12.7866,-38.4029,,,,
A & L MAGAZINE,a-l-magazine,1998-02-02T02:00:00.000Z,1,Condeúba,BA,17113,-14.9022,-41.9718,,,,
A A BRITO REPRESENTACOES DE MATERIAL DE CONSTRUCOES,a-a-brito-representacoes-de-material-de-construcoes,2008-03-03T03:00:00.000Z,1,Seabra,BA,44370,-12.4169,-41.7722,,,,
A A P R,a-a-p-r,1998-11-27T02:00:00.000Z,5,Ilhéus,BA,157639,-14.793,-39.046,,,,
A B IMPORTADOS,a-b-importados,1998-04-01T03:00:00.000Z,1,Senhor do Bonfim,BA,79813,-10.4594,-40.1865,,,,
A BAHIA,a-bahia,2001-04-17T03:00:00.000Z,1,Mascote,BA,13619,-15.5542,-39.3016,,,,
A BARATINHA,a-baratinha,2007-08-02T03:00:00.000Z,1,Itaeté,BA,16164,-12.9831,-40.9677,,,,
A BARATINHA CONFECCOES,a-baratinha-confeccoes,2005-10-31T02:00:00.000Z,1,Itabuna,BA,214123,-14.7876,-39.2781,,,,
A BENCAO,a-bencao,2004-08-18T03:00:00.000Z,5,Camaçari,BA,309208,-12.6996,-38.3263,,,,
A BICICLETA,a-bicicleta,1992-06-30T03:00:00.000Z,1,Camaçari,BA,309208,-12.6996,-38.3263,,,,
A BIOQUIMIKA FARMACIA DE MANIPULACAO,a-bioquimika-farmacia-de-manipulacao,2005-06-21T03:00:00.000Z,1,Salvador,BA,2900319,-12.9718,-38.5011,,,,
A C A F A D,a-c-a-f-a-d,1999-05-17T03:00:00.000Z,5,Tucano,BA,50903,-10.9584,-38.7894,,,,
A C ATACADO DE CIMENTO,a-c-atacado-de-cimento,2009-09-11T03:00:00.000Z,1,Xique-Xique,BA,46562,-10.823,-42.7245,,,,
A C B C,a-c-b-c,1999-04-26T03:00:00.000Z,5,Bonito,BA,16999,-11.9668,-41.2647,,,,
A C C,a-c-c,2001-05-22T03:00:00.000Z,5,Serrinha,BA,81693,-11.6584,-39.01,,,,
A C C,a-c-c,1995-12-27T02:00:00.000Z,5,Retirolândia,BA,14588,-11.4832,-39.4234,,,,
A C M,a-c-m,1996-12-06T02:00:00.000Z,5,Ibotirama,BA,27076,-12.1779,-43.2167,,,,
A C P ENGENHARIA,a-c-p-engenharia,1998-01-19T02:00:00.000Z,1,Salvador,BA,2900319,-12.9718,-38.5011,,,,
A CACULA CONFECCOES,a-cacula-confeccoes,1985-05-10T03:00:00.000Z,1,Jequié,BA,156277,-13.8509,-40.0877,,,,
A CAMPONESA,a-camponesa,2002-07-29T03:00:00.000Z,3,Valença,BA,97873,-13.3669,-39.073,,,,
A CAMPONESA,a-camponesa,2008-08-15T03:00:00.000Z,1,Souto Soares,BA,17118,-12.088,-41.6427,,,,
A CANTAINA,a-cantaina,2014-05-26T03:00:00.000Z,1,Juazeiro,BA,219544,-9.41622,-40.5033,,,,
A CASA DO CRIADOR,a-casa-do-criador,2005-10-27T02:00:00.000Z,1,Capim Grosso,BA,31055,-11.3797,-40.0089,,,,
A CENTRAL COMERCIO E SERVICOS,a-central-comercio-e-servicos,2010-01-29T02:00:00.000Z,1,Formosa do Rio Preto,BA,26111,-11.0328,-45.193,,,,
A COMERCIAL JOIAS,a-comercial-joias,1973-09-19T03:00:00.000Z,1,Brumado,BA,67468,-14.2021,-41.6696,,,,
A COMPAT,a-compat,2001-06-18T03:00:00.000Z,5,Jacobina,BA,80749,-11.1812,-40.5117,,,,
A COMUNIDADE RESTAURANDO VIDAS,a-comunidade-restaurando-vidas,2012-03-07T03:00:00.000Z,5,Vitória da Conquista,BA,343643,-14.8615,-40.8442,,,,
A CONQUISTADORA,a-conquistadora,1982-07-12T03:00:00.000Z,1,Gongogi,BA,6852,-14.3195,-39.469,,,,
A CONSTRUCENTER METALURGICA,a-construcenter-metalurgica,1986-09-25T03:00:00.000Z,1,Feira de Santana,BA,624107,-12.2664,-38.9663,,,,
A CONSTRUTORA,a-construtora,2009-09-24T03:00:00.000Z,3,Conceição do Jacuípe,BA,33631,-12.3268,-38.7684,,,,
A D C A S S Q,a-d-c-a-s-s-q,2005-11-30T02:00:00.000Z,5,Sítio do Quinto,BA,9431,-10.3545,-38.2213,,,,
A DISBAL,a-disbal,1994-08-16T03:00:00.000Z,5,Várzea da Roça,BA,14135,-11.6005,-40.1328,,,,
A E L COMERCIO E SERVICOS,a-e-l-comercio-e-servicos,2010-05-18T03:00:00.000Z,1,Salvador,BA,2900319,-12.9718,-38.5011,,,,
A F CVONSTRUCOES,a-f-cvonstrucoes,2010-07-05T03:00:00.000Z,1,Araci,BA,54903,-11.3253,-38.9584,,,,
A F MATERIAIS DE CONSTRUCAO,a-f-materiais-de-construcao,2009-09-10T03:00:00.000Z,1,Brumado,BA,67468,-14.2021,-41.6696,,,,
A F P M M,a-f-p-m-m,1984-06-06T03:00:00.000Z,5,Mairi,BA,18535,-11.7107,-40.1437,,,,
A FAZENDINHA PRODUTOS VETERINARIOS,a-fazendinha-produtos-veterinarios,1994-10-10T03:00:00.000Z,1,Entre Rios,BA,42014,-11.9392,-38.0871,,,,
A FEIRITA DISTRIBUIDORA,a-feirita-distribuidora,2000-01-13T02:00:00.000Z,3,São Gonçalo dos Campos,BA,38315,-12.4331,-38.9663,,,,
A FITA CONFECCOES,a-fita-confeccoes,2007-07-06T03:00:00.000Z,1,Feira de Santana,BA,624107,-12.2664,-38.9663,,,,
A FORMULA,a-formula,2004-07-06T03:00:00.000Z,3,Feira de Santana,BA,624107,-12.2664,-38.9663,,,,
A FORMULA,a-formula,1988-10-21T02:00:00.000Z,5,Salvador,BA,2900319,-12.9718,-38.5011,,,,
A FORMULA,a-formula,2001-11-09T02:00:00.000Z,3,Ilhéus,BA,157639,-14.793,-39.046,,,,
A FORMULA,a-formula,2007-08-22T03:00:00.000Z,3,Jacobina,BA,80749,-11.1812,-40.5117,,,,
A FORTIORI,a-fortiori,1993-09-03T03:00:00.000Z,3,Caetité,BA,51184,-14.0684,-42.4861,,,,
A FUNERARIA,a-funeraria,1977-02-01T03:00:00.000Z,1,Valença,BA,97873,-13.3669,-39.073,,,,
A G COMERCIAL DE ALIMENTOS E BEBIDAS,a-g-comercial-de-alimentos-e-bebidas,2002-02-01T02:00:00.000Z,1,São Francisco do Conde,BA,40664,-12.6183,-38.6786,,,,
A G MELLO REPRESENTACOES,a-g-mello-representacoes,2010-06-21T03:00:00.000Z,1,Itabuna,BA,214123,-14.7876,-39.2781,,,,
A G SERVICOS,a-g-servicos,2010-05-25T03:00:00.000Z,1,Ilhéus,BA,157639,-14.793,-39.046,,,,
A GRACIOSA,a-graciosa,2009-12-18T02:00:00.000Z,1,Barreiras,BA,158432,-12.1439,-44.9968,,,,
A GURILANDIA,a-gurilandia,1994-01-19T02:00:00.000Z,1,Alagoinhas,BA,153023,-12.1335,-38.4208,,,,
A IDEAL MODAS,a-ideal-modas,1993-02-01T03:00:00.000Z,3,Itapetinga,BA,77408,-15.2475,-40.2482,,,,
A IGREJA EM BARREIRAS,a-igreja-em-barreiras,1998-12-15T02:00:00.000Z,5,Barreiras,BA,158432,-12.1439,-44.9968,,,,
A J REPRESENTACOES,a-j-representacoes,1992-05-14T03:00:00.000Z,1,Vitória da Conquista,BA,343643,-14.8615,-40.8442,,,,
A L MERCADINHO,a-l-mercadinho,2010-03-03T03:00:00.000Z,1,Almadina,BA,5273,-14.7089,-39.6415,,,,
A L O S SERVICOS,a-l-o-s-servicos,2008-01-25T02:00:00.000Z,1,Araci,BA,54903,-11.3253,-38.9584,,,,
A L S CELEULARES,a-l-s-celeulares,2008-10-14T03:00:00.000Z,1,Feira de Santana,BA,624107,-12.2664,-38.9663,,,,
A M A,a-m-a,1988-03-10T03:00:00.000Z,5,Conceição do Coité,BA,67394,-11.56,-39.2808,,,,
A M E,a-m-e,2003-10-24T02:00:00.000Z,5,Jeremoabo,BA,40832,-10.0685,-38.3471,,,,
A M K,a-m-k,1994-02-09T02:00:00.000Z,5,Brejões,BA,14155,-13.1039,-39.7988,,,,
A M MATERIAL DE CONSTRUCAO,a-m-material-de-construcao,1992-01-17T02:00:00.000Z,1,Simões Filho,BA,137117,-12.7866,-38.4029,,,,
A M V M,a-m-v-m,1990-09-03T03:00:00.000Z,5,São Francisco do Conde,BA,40664,-12.6183,-38.6786,,,,
A MINEIRINHA,a-mineirinha,1997-12-01T02:00:00.000Z,3,Mucugê,BA,8725,-13.0053,-41.3703,,,,
A MIRASSOL MATERIAIS DE CONSTRUCAO,a-mirassol-materiais-de-construcao,1993-09-22T03:00:00.000Z,1,Guanambi,BA,85353,-14.2231,-42.7799,,,,
A MISCELANIA ARMARINHO,a-miscelania-armarinho,1991-02-06T02:00:00.000Z,1,Salvador,BA,2900319,-12.9718,-38.5011,,,,
A MONARA,a-monara,1989-02-01T03:00:00.000Z,1,Gandu,BA,32778,-13.7441,-39.4747,,,,
A NATURAL,a-natural,2001-03-08T03:00:00.000Z,1,Capim Grosso,BA,31055,-11.3797,-40.0089,,,,
A NONA,a-nona,2004-02-17T03:00:00.000Z,3,Feira de Santana,BA,624107,-12.2664,-38.9663,,,,
A NOSSA DENTAL,a-nossa-dental,2001-08-09T03:00:00.000Z,1,Itabuna,BA,214123,-14.7876,-39.2781,,,,
A P M (ASSOCIACAO DE PAIS E MESTRES DAS ESCOLAS,a-p-m-associacao-de-pais-e-mestres-das-escolas,2003-10-13T03:00:00.000Z,5,Nova Ibiá,BA,6518,-13.812,-39.6182,,,,
A P P ASSOCIACAO DE PAIS E PROFESSORES,a-p-p-associacao-de-pais-e-professores,1999-04-28T03:00:00.000Z,5,Floresta Azul,BA,10525,-14.8629,-39.6579,,,,
A P P DE LEITE DE PALMEIRA E REGIAO,a-p-p-de-leite-de-palmeira-e-regiao,2007-12-11T02:00:00.000Z,5,Miguel Calmon,BA,25771,-11.4299,-40.6031,,,,
A P P R V - ASSOCIACAO,a-p-p-r-v-associacao,2007-05-20T03:00:00.000Z,5,Catu,BA,55222,-12.3513,-38.3791,,,,
A PANELA,a-panela,2002-12-20T02:00:00.000Z,1,Salvador,BA,2900319,-12.9718,-38.5011,,,,
A PARCERIA CONSULT LTDA,a-parceria-consult-ltda,2002-01-30T02:00:00.000Z,1,Ilhéus,BA,157639,-14.793,-39.046,,,,
A PEDRA MISSELANIA,a-pedra-misselania,1987-11-10T02:00:00.000Z,1,Santa Cruz da Vitória,BA,6241,-14.964,-39.8115,,,,
A PONTUAL,a-pontual,1986-10-09T03:00:00.000Z,1,Iraquara,BA,25728,-12.2429,-41.6155,,,,
A POPULAR,a-popular,2001-09-11T03:00:00.000Z,1,Itajuípe,BA,20309,-14.6788,-39.3698,,,,
A POPULAR,a-popular,1997-01-02T02:00:00.000Z,1,Itamaraju,BA,64423,-17.0378,-39.5386,,,,
A PREDILETA,a-predileta,1986-01-09T02:00:00.000Z,1,Itaberaba,BA,64795,-12.5242,-40.3059,,,,
A PRIMORDIAL,a-primordial,1977-11-22T03:00:00.000Z,5,Salvador,BA,2900319,-12.9718,-38.5011,,,,
A PRINCIPAL DOS TECIDOS,a-principal-dos-tecidos,1994-02-22T03:00:00.000Z,3,Senhor do Bonfim,BA,79813,-10.4594,-40.1865,,,,
A R C REPRESENTACOES,a-r-c-representacoes,1992-04-08T03:00:00.000Z,1,Salvador,BA,2900319,-12.9718,-38.5011,,,,
A ROCA,a-roca,1987-01-27T02:00:00.000Z,1,Ubaitaba,BA,18647,-14.303,-39.3222,,,,
A S A MONTAGEM INDUSTRIAL,a-s-a-montagem-industrial,1999-11-29T02:00:00.000Z,5,Camaçari,BA,309208,-12.6996,-38.3263,,,,
A S ANDRESA DE SA FOTO & IMAGEM DIGITAL,a-s-andresa-de-sa-foto-imagem-digital,2008-06-02T03:00:00.000Z,1,Salvador,BA,2900319,-12.9718,-38.5011,,,,
A S C O M,a-s-c-o-m,1988-05-06T03:00:00.000Z,5,Barro Alto,BA,15171,-11.7605,-41.9054,,,,
A S CO B E C A N,a-s-co-b-e-c-a-n,2011-08-29T03:00:00.000Z,5,Biritinga,BA,15989,-11.6072,-38.8051,,,,
A S CONSTRUCOES,a-s-construcoes,1979-09-28T03:00:00.000Z,5,Feira de Santana,BA,624107,-12.2664,-38.9663,,,,
A S CONSTRUTORA,a-s-construtora,2012-03-30T03:00:00.000Z,5,Santana,BA,26792,-12.9792,-44.0506,,,,
A S F L A M,a-s-f-l-a-m,2003-08-08T03:00:00.000Z,5,Salvador,BA,2900319,-12.9718,-38.5011,,,,
A SERTANEJA,a-sertaneja,1983-09-05T03:00:00.000Z,3,Itaberaba,BA,64795,-12.5242,-40.3059,,,,
A SIMPATIA,a-simpatia,1988-06-10T03:00:00.000Z,5,Lajedinho,BA,3735,-12.3529,-40.9048,,,,
A SOLUCAO,a-solucao,1999-02-11T02:00:00.000Z,3,Feira de Santana,BA,624107,-12.2664,-38.9663,,,,
A SORTE E SUA,a-sorte-e-sua,2004-08-18T03:00:00.000Z,1,Canudos,BA,16832,-9.90014,-39.1471,,,,
A SOS MATERIAIS HOSPITALARES,a-sos-materiais-hospitalares,2006-03-27T03:00:00.000Z,1,Salvador,BA,2900319,-12.9718,-38.5011,,,,
A T R I B COMERCIO E SERVICOS,a-t-r-i-b-comercio-e-servicos,2002-03-07T03:00:00.000Z,1,Serrinha,BA,81693,-11.6584,-39.01,,,,
A TERAPEUTICA,a-terapeutica,1998-06-18T03:00:00.000Z,3,Salvador,BA,2900319,-12.9718,-38.5011,,,,
A TRIBO,a-tribo,2009-08-31T03:00:00.000Z,3,Feira de Santana,BA,624107,-12.2664,-38.9663,,,,
A U C B,a-u-c-b,2011-05-05T03:00:00.000Z,5,Bonito,BA,16999,-11.9668,-41.2647,,,,
A VITORIA,a-vitoria,2005-03-10T03:00:00.000Z,1,Feira de Santana,BA,624107,-12.2664,-38.9663,,,,
A Z CALCADOS,a-z-calcados,2004-09-20T03:00:00.000Z,1,Ibicoara,BA,19990,-13.4059,-41.284,,,,
A-ASOCOPO,a-asocopo,1997-05-23T03:00:00.000Z,5,Santana,BA,26792,-12.9792,-44.0506,,,,
A. J. DISTRIBUIDORA,a-j-distribuidora,2012-06-11T03:00:00.000Z,1,Irecê,BA,74050,-11.3033,-41.8535,,,,
A. K. C. V.,a-k-c-v,1999-11-15T02:00:00.000Z,5,Valente,BA,29111,-11.4062,-39.457,,,,
A. L. B. A. CONFECCOES,a-l-b-a-confeccoes,2010-12-03T02:00:00.000Z,1,Salvador,BA,2900319,-12.9718,-38.5011,,,,
A. L. DISTRIBUIDORA,a-l-distribuidora,2004-05-19T03:00:00.000Z,1,Retirolândia,BA,14588,-11.4832,-39.4234,,,,
A. M. E.,a-m-e,2011-04-08T03:00:00.000Z,5,Cruz das Almas,BA,63923,-12.6675,-39.1008,,,,
A. S. EMPREENDIMENTOS,a-s-empreendimentos,1995-12-14T02:00:00.000Z,3,Tanhaçu,BA,20383,-14.0197,-41.2473,,,,
A. SA TOUR,a-sa-tour,1999-06-30T03:00:00.000Z,1,Salvador,BA,2900319,-12.9718,-38.5011,,,,
A. V. MEDICINA,a-v-medicina,2010-05-17T03:00:00.000Z,3,Santo Antônio de Jesus,BA,103204,-12.9614,-39.2584,,,,
A.B.C.P.A.S.N,abcpasn,2009-10-13T03:00:00.000Z,5,Araci,BA,54903,-11.3253,-38.9584,,,,
A.B.R.C.J.,abrcj,1999-08-23T03:00:00.000Z,5,Teofilândia,BA,22590,-11.4827,-38.9913,,,,
A.C. TECH,ac-tech,2007-04-27T03:00:00.000Z,1,Salvador,BA,2900319,-12.9718,-38.5011,,,,
A.C.A.M.S,acams,2000-08-22T03:00:00.000Z,5,Juazeiro,BA,219544,-9.41622,-40.5033,,,,
A.C.C,acc,1998-10-01T03:00:00.000Z,5,Retirolândia,BA,14588,-11.4832,-39.4234,,,,
A.C.M.,acm,1998-03-02T03:00:00.000Z,5,Retirolândia,BA,14588,-11.4832,-39.4234,,,,
A.C.M.D.I,acmdi,2011-06-22T03:00:00.000Z,5,Mirante,BA,8264,-14.2385,-40.7718,,,,
A.C.R.P,acrp,1999-08-20T03:00:00.000Z,5,Tucano,BA,50903,-10.9584,-38.7894,,,,
A.C.REPRESENTACOES,acrepresentacoes,2002-09-20T03:00:00.000Z,1,Alagoinhas,BA,153023,-12.1335,-38.4208,,,,
A.C.U.T,acut,2008-05-08T03:00:00.000Z,5,Lapão,BA,27323,-11.3851,-41.8286,,,,
A.D.L. ASSOCIACAO DESPORTIVA LUSACA,adl-associacao-desportiva-lusaca,2007-09-10T03:00:00.000Z,5,Dias d'Ávila,BA,83705,-12.6187,-38.2926,,,,
A.D.U.R.,adur,2005-05-24T03:00:00.000Z,5,Barra,BA,54225,-11.0859,-43.1459,,,,
A.F.F. REPRESENTACOES DE PRODUTOS ALIMENTICIOS LTDA,aff-representacoes-de-produtos-alimenticios-ltda,2007-07-18T03:00:00.000Z,1,Cipó,BA,17402,-11.1032,-38.5179,,,,
A.M. MATERIAIS DE CONSTRUCAO,am-materiais-de-construcao,2011-03-29T03:00:00.000Z,1,Camaçari,BA,309208,-12.6996,-38.3263,,,,
A.M.J.,amj,1997-04-13T03:00:00.000Z,5,Ubaíra,BA,19860,-13.2714,-39.666,,,,
A.M.M,amm,1997-12-19T02:00:00.000Z,5,Salvador,BA,2900319,-12.9718,-38.5011,,,,
A.N. PROCESSAMENTO DE DADOS,an-processamento-de-dados,1998-08-31T03:00:00.000Z,1,Salvador,BA,2900319,-12.9718,-38.5011,,,,
A.P DE OLIVEIRA,ap-de-oliveira,2008-01-30T02:00:00.000Z,1,Luís Eduardo Magalhães,BA,92671,-12.0956,-45.7866,,,,
A.P.M,apm,1997-06-20T03:00:00.000Z,5,Itabela,BA,30901,-16.5732,-39.5593,,,,
A.P.M.E.L.H.K,apmelhk,2000-03-13T03:00:00.000Z,5,Wenceslau Guimarães,BA,20862,-13.6908,-39.4762,,,,
A.P.M.E.M.A.S,apmemas,2000-03-13T03:00:00.000Z,5,Wenceslau Guimarães,BA,20862,-13.6908,-39.4762,,,,
A.P.M.E.S.L,apmesl,2000-03-13T03:00:00.000Z,5,Wenceslau Guimarães,BA,20862,-13.6908,-39.4762,,,,
A.P.P.M.E.U,appmeu,2000-03-13T03:00:00.000Z,5,Wenceslau Guimarães,BA,20862,-13.6908,-39.4762,,,,
A.P.R.T.,aprt,2000-05-09T03:00:00.000Z,5,Mucuri,BA,42729,-18.0754,-39.5565,,,,
A.R. MULTI SERVICOS,ar-multi-servicos,2003-05-09T03:00:00.000Z,1,Feira de Santana,BA,624107,-12.2664,-38.9663,,,,
A.R.A,ara,1999-11-04T02:00:00.000Z,5,Remanso,BA,41324,-9.61944,-42.0848,,,,
A.R.C.A,arca,1997-09-01T03:00:00.000Z,5,Buerarema,BA,18269,-14.9595,-39.3028,,,,
A.R.W . PECAS,arw-pecas,2006-05-17T03:00:00.000Z,3,Valente,BA,29111,-11.4062,-39.457,,,,
A.S.G.,asg,2000-09-20T03:00:00.000Z,5,Santo Antônio de Jesus,BA,103204,-12.9614,-39.2584,,,,
A.T.C.,atc,1997-12-15T02:00:00.000Z,5,Central,BA,17293,-11.1376,-42.1116,,,,
A.T.R.T.B,atrtb,2004-12-29T02:00:00.000Z,5,Bonito,BA,16999,-11.9668,-41.2647,,,,
A&C INFORTECH,ac-infortech,2011-09-30T03:00:00.000Z,1,Salvador,BA,2900319,-12.9718,-38.5011,,,,
A&C INSTALACOES E COMERCIO LTDA,ac-instalacoes-e-comercio-ltda,2010-06-17T03:00:00.000Z,1,Salvador,BA,2900319,-12.9718,-38.5011,,,,
A&FF MERCADINHO,aff-mercadinho,2011-07-07T03:00:00.000Z,1,Santo Amaro,BA,60190,-12.5472,-38.7137,,,,
A+ MEDICINA DIAGNOSTICA,a-medicina-diagnostica,2009-08-27T03:00:00.000Z,5,Salvador,BA,2900319,-12.9718,-38.5011,,,,
A2 CORRETORA DE SEGUROS,a2-corretora-de-seguros,2011-03-11T03:00:00.000Z,1,Alagoinhas,BA,153023,-12.1335,-38.4208,,,,
A3 ESTAGIO,a3-estagio,2006-09-08T03:00:00.000Z,1,Salvador,BA,2900319,-12.9718,-38.5011,,,,
A4 AGRICOLA E PECUARIA,a4-agricola-e-pecuaria,2011-01-14T02:00:00.000Z,5,Teixeira de Freitas,BA,164290,-17.5399,-39.74,,,,
A4 AGRICOLA E PECUARIA,a4-agricola-e-pecuaria,2011-01-14T02:00:00.000Z,5,Guaratinga,BA,20565,-16.5833,-39.7847,,,,
A4 AGRICOLA E PECUARIA,a4-agricola-e-pecuaria,2011-01-14T02:00:00.000Z,5,Guaratinga,BA,20565,-16.5833,-39.7847,,,,
A5 ENTRETENIMENTO,a5-entretenimento,2005-01-25T02:00:00.000Z,5,Salvador,BA,2900319,-12.9718,-38.5011,,,,
AA LAGOA DA VACA,aa-lagoa-da-vaca,2001-02-07T02:00:00.000Z,5,Paripiranga,BA,29124,-10.6859,-37.8626,,,,
AABANEB,aabaneb,1977-04-18T03:00:00.000Z,5,Ilhéus,BA,157639,-14.793,-39.046,,,,
AABB,aabb,1980-12-19T03:00:00.000Z,5,Belmonte,BA,23540,-15.8608,-38.8758,,,,
AABB,aabb,1972-05-30T03:00:00.000Z,5,Itabuna,BA,214123,-14.7876,-39.2781,,,,
AABB,aabb,1977-04-05T03:00:00.000Z,5,Brumado,BA,67468,-14.2021,-41.6696,,,,
AABB,aabb,1977-11-17T03:00:00.000Z,5,Itanhém,BA,19231,-17.1642,-40.3321,,,,
AABB,aabb,1978-09-04T03:00:00.000Z,5,Miguel Calmon,BA,25771,-11.4299,-40.6031,,,,
AABB,aabb,1969-03-27T03:00:00.000Z,5,Senhor do Bonfim,BA,79813,-10.4594,-40.1865,,,,
AABB,aabb,1971-06-28T03:00:00.000Z,5,Serrinha,BA,81693,-11.6584,-39.01,,,,
AABB,aabb,1978-04-12T03:00:00.000Z,5,Ubaitaba,BA,18647,-14.303,-39.3222,,,,
AABB,aabb,1979-11-23T03:00:00.000Z,5,Condeúba,BA,17113,-14.9022,-41.9718,,,,
AABB,aabb,1980-07-10T03:00:00.000Z,5,Ibirataia,BA,14476,-14.0643,-39.6459,,,,
AABBI,aabbi,2003-05-13T03:00:00.000Z,5,Ipiaú,BA,45969,-14.1226,-39.7353,,,,
AACACEMN,aacacemn,2000-03-31T03:00:00.000Z,5,Medeiros Neto,BA,22741,-17.3707,-40.2238,,,,
AACG,aacg,2010-06-28T03:00:00.000Z,5,Caldeirão Grande,BA,13452,-11.0208,-40.2956,,,,
AACMC,aacmc,1999-07-16T03:00:00.000Z,5,Candeias,BA,87820,-12.6716,-38.5472,,,,
AACOSA,aacosa,2000-04-06T03:00:00.000Z,5,Adustina,BA,17209,-10.5437,-38.1113,,,,
AACOSNOT,aacosnot,1999-02-03T02:00:00.000Z,5,Novo Triunfo,BA,15445,-10.3182,-38.4014,,,,
AACP,aacp,2006-03-27T03:00:00.000Z,5,América Dourada,BA,16086,-11.4429,-41.439,,,,
AACSI,aacsi,2001-10-04T03:00:00.000Z,5,Itapetinga,BA,77408,-15.2475,-40.2482,,,,
AACSJ,aacsj,2003-04-03T03:00:00.000Z,5,Jandaíra,BA,10742,-11.5616,-37.7853,,,,
AACSMO,aacsmo,1998-01-23T02:00:00.000Z,5,Ourolândia,BA,17567,-10.9578,-41.0756,,,,
AACSN,aacsn,1999-01-15T02:00:00.000Z,5,Nordestina,BA,13197,-10.8192,-39.4297,,,,
AAFAM-CAATINGA,aafam-caatinga,2014-05-13T03:00:00.000Z,5,Juazeiro,BA,219544,-9.41622,-40.5033,,,,
AAFCC,aafcc,2011-08-08T03:00:00.000Z,5,Camacan,BA,32023,-15.4142,-39.4919,,,,
AAFI,aafi,2010-05-03T03:00:00.000Z,5,Itaberaba,BA,64795,-12.5242,-40.3059,,,,
AALC,aalc,2004-08-18T03:00:00.000Z,5,Caetité,BA,51184,-14.0684,-42.4861,,,,
AAMFLM,aamflm,2009-11-18T02:00:00.000Z,5,Canudos,BA,16832,-9.90014,-39.1471,,,,
AAPCMBA,aapcmba,1998-08-17T03:00:00.000Z,5,Salvador,BA,2900319,-12.9718,-38.5011,,,,
AAPG- ASSOCIACAO,aapg-associacao,2005-08-19T03:00:00.000Z,5,Glória,BA,15247,-9.34382,-38.2544,,,,
AAQALNA,aaqalna,2005-11-23T02:00:00.000Z,5,Campo Formoso,BA,71754,-10.5105,-40.32,,,,
AASCEI,aascei,2001-02-21T03:00:00.000Z,5,Itiúba,BA,36140,-10.6948,-39.8446,,,,
AATICA,aatica,1989-08-31T03:00:00.000Z,1,Salvador,BA,2900319,-12.9718,-38.5011,,,,
AB2,ab2,2007-03-21T03:00:00.000Z,1,Alagoinhas,BA,153023,-12.1335,-38.4208,,,,
ABA TRANSFORMERSS,aba-transformerss,2011-06-15T03:00:00.000Z,1,Salvador,BA,2900319,-12.9718,-38.5011,,,,
ABABAS,ababas,1987-04-07T03:00:00.000Z,5,Salvador,BA,2900319,-12.9718,-38.5011,,,,
ABACAFE,abacafe,2006-10-24T03:00:00.000Z,5,Luís Eduardo Magalhães,BA,92671,-12.0956,-45.7866,,,,
ABAETE DROGARIA E COSMETICOS,abaete-drogaria-e-cosmeticos,2010-05-14T03:00:00.000Z,3,Poções,BA,46885,-14.5234,-40.3634,,,,
ABAM,abam,1998-05-08T03:00:00.000Z,5,Salvador,BA,2900319,-12.9718,-38.5011,,,,
ABAMU,abamu,1990-04-24T03:00:00.000Z,5,Barra,BA,54225,-11.0859,-43.1459,,,,
ABAPEQ,abapeq,1988-11-28T02:00:00.000Z,5,Salvador,BA,2900319,-12.9718,-38.5011,,,,
ABARA E CIA DA ROSE,abara-e-cia-da-rose,2011-11-28T02:00:00.000Z,1,Salvador,BA,2900319,-12.9718,-38.5011,,,,
ABAS,abas,2002-12-10T02:00:00.000Z,5,São Francisco do Conde,BA,40664,-12.6183,-38.6786,,,,
ABASE,abase,1973-06-29T03:00:00.000Z,5,Salvador,BA,2900319,-12.9718,-38.5011,,,,
ABATEDOURO ANTONIO FRAGA,abatedouro-antonio-fraga,1998-10-08T03:00:00.000Z,1,Santo Antônio de Jesus,BA,103204,-12.9614,-39.2584,,,,
ABATEDOURO CANAA,abatedouro-canaa,2011-01-21T02:00:00.000Z,1,Serrinha,BA,81693,-11.6584,-39.01,,,,
ABATEDOURO DE AVES COSTA,abatedouro-de-aves-costa,2012-05-18T03:00:00.000Z,1,Rio Real,BA,41209,-11.4814,-37.9332,,,,
ABATEDOURO DO POVO,abatedouro-do-povo,2004-12-22T02:00:00.000Z,1,Belmonte,BA,23540,-15.8608,-38.8758,,,,
ABATEDOURO IRMAOS RONALDO,abatedouro-irmaos-ronaldo,2011-03-17T03:00:00.000Z,1,Santa Cruz Cabrália,BA,28058,-16.2825,-39.0295,,,,
ABATEDOURO NOSSA SENHORA DE FATIMA,abatedouro-nossa-senhora-de-fatima,1995-07-20T03:00:00.000Z,1,São Félix,BA,14784,-12.6104,-38.9727,,,,
ABBY DESENVOLVIMENTO PROFISSIONAL,abby-desenvolvimento-profissional,1994-01-21T02:00:00.000Z,1,Salvador,BA,2900319,-12.9718,-38.5011,,,,
ABC CONTABILIDADE,abc-contabilidade,1991-02-18T03:00:00.000Z,1,Salvador,BA,2900319,-12.9718,-38.5011,,,,
